,Year,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeScorers,AwayScorers,ExtraTime,Penalty,HomePenaltyScore,AwayPenaltyScore,Stadium,Location,Attendance,Referee
810,2014,21 June 2014,16:00 BRT (UTC−3),Germany,Ghana,2,2,"
Götze  51'
Klose  71'","
A. Ayew  54'
Gyan  63'",0,0,0,0,Estádio Castelão, Fortaleza,"59,621",Sandro Ricci (Brazil)
811,2014,22 June 2014,18:00 AMT (UTC−4),United States,Portugal,2,2,"
Jones  64'
Dempsey  81'","
Nani  5'
Varela  90+5'",0,0,0,0,Arena da Amazônia, Manaus,"40,123",Néstor Pitana (Argentina)
812,2014,26 June 2014,13:00 BRT (UTC−3),United States,Germany,0,1,,"
Müller  55'",0,0,0,0,Itaipava Arena Pernambuco, Recife,"41,876",Ravshan Irmatov (Uzbekistan)
813,2014,26 June 2014,13:00 BRT (UTC−3),Portugal,Ghana,2,1,"
Boye  31' (o.g.)
Ronaldo  80'","
Gyan  57'",0,0,0,0,Estádio Nacional Mané Garrincha, Brasília,"67,540",Nawaf Shukralla (Bahrain)
814,2014,17 June 2014,13:00 BRT (UTC−3),Belgium,Algeria,2,1,"
Fellaini  70'
Mertens  80'","
Feghouli  25' (pen.)",0,0,0,0,Estádio Mineirão, Belo Horizonte,"56,800",Marco Rodríguez (Mexico)
815,2014,17 June 2014,18:00 AMT (UTC−4),Russia,South Korea,1,1,"
Kerzhakov  74'","
Lee Keun-ho  68'",0,0,0,0,Arena Pantanal, Cuiabá,"37,603",Néstor Pitana (Argentina)
816,2014,22 June 2014,13:00 BRT (UTC−3),Belgium,Russia,1,0,"
Origi  88'",,0,0,0,0,Estádio do Maracanã, Rio de Janeiro,"73,819",Felix Brych (Germany)
817,2014,22 June 2014,16:00 BRT (UTC−3),South Korea,Algeria,2,4,"
Son Heung-min  50'
Koo Ja-cheol  72'","
Slimani  26'
Halliche  28'
Djabou  38'
Brahimi  62'",0,0,0,0,Estádio Beira-Rio, Porto Alegre,"42,732",Wilmar Roldán (Colombia)
818,2014,26 June 2014,17:00 BRT (UTC−3),South Korea,Belgium,0,1,,"
Vertonghen  78'",0,0,0,0,Arena de São Paulo, São Paulo,"61,397",Ben Williams (Australia)
819,2014,26 June 2014,17:00 BRT (UTC−3),Algeria,Russia,1,1,"
Slimani  60'","
Kokorin  6'",0,0,0,0,Arena da Baixada, Curitiba,"39,311",Cüneyt Çakır (Turkey)
820,2014,28 June 2014,13:00 BRT (UTC−3),Brazil,Chile,1,1,"
David Luiz  18'","
Sánchez  32'",1,1,3,2,Estádio Mineirão, Belo Horizonte,"57,714",Howard Webb (England)
821,2014,28 June 2014,17:00 BRT (UTC−3),Colombia,Uruguay,2,0,"
Rodríguez  28', 50'",,0,0,0,0,Estádio do Maracanã, Rio de Janeiro,"73,804",Björn Kuipers (Netherlands)
822,2014,29 June 2014,13:00 BRT (UTC−3),Netherlands,Mexico,2,1,"
Sneijder  88'
Huntelaar  90+4' (pen.)","
Dos Santos  48'",0,0,0,0,Estádio Castelão, Fortaleza,"58,817",Pedro Proença (Portugal)
823,2014,29 June 2014,17:00 BRT (UTC−3),Costa Rica,Greece,1,1,"
Ruiz  52'","
Papastathopoulos  90+1'",1,1,5,3,Itaipava Arena Pernambuco, Recife,"41,242",Ben Williams (Australia)
824,2014,30 June 2014,13:00 BRT (UTC−3),France,Nigeria,2,0,"
Pogba  79'
Yobo  90+2' (o.g.)",,0,0,0,0,Estádio Nacional Mané Garrincha, Brasília,"67,882",Mark Geiger (United States)
825,2014,30 June 2014,17:00 BRT (UTC−3),Germany,Algeria,2,1,"
Schürrle  92'
Özil  120'","
Djabou  120+1'",1,0,0,0,Estádio Beira-Rio, Porto Alegre,"43,063",Sandro Ricci (Brazil)
826,2014,1 July 2014,13:00 BRT (UTC−3),Argentina,Switzerland,1,0,"
Di María  118'",,1,0,0,0,Arena Corinthians, São Paulo,"63,255",Jonas Eriksson (Sweden)
827,2014,1 July 2014,17:00 BRT (UTC−3),Belgium,United States,2,1,"
De Bruyne  93'
Lukaku  105'","
Green  107'",1,0,0,0,Itaipava Arena Fonte Nova, Salvador,"51,227",Djamel Haimoudi (Algeria)
828,2014,4 July 2014,13:00 BRT (UTC−3),France,Germany,0,1,,"
Hummels  13'",0,0,0,0,Estádio do Maracanã, Rio de Janeiro,"74,240",Néstor Pitana (Argentina)
